id,crop_id,market_id,date,min_price,max_price,modal_price,arrival_qty,source,created_at
p97bdcf2c-df15-4000-8000-49cb7a9b-c6d,c0000001-0001-4000-8000-000000000001,m0000001-0016-4000-8000-000000000016,2024-01-01,62.36,85.28,73.82,4241,AGMARKNET,2024-01-01 00:00:00
pad2e41ad-8d48-4000-8000-c87bb7c3-2ff,c0000001-0007-4000-8000-000000000007,m0000001-0002-4000-8000-000000000002,2024-01-01,41.11,61.51,51.31,3871,AGMARKNET,2024-01-01 00:00:00
p34d69cb4-7e0f-4000-8000-3b5a166f-15d,c0000001-0007-4000-8000-000000000007,m0000001-0003-4000-8000-000000000003,2024-01-01,48.78,71.72,60.25,1000,AGMARKNET,2024-01-01 00:00:00
p561aa507-1ae1-4000-8000-69ee3049-1d0,c0000001-0010-4000-8000-000000000010,m0000001-0025-4000-8000-000000000025,2024-01-01,37.69,51.33,44.51,4056,AGMARKNET,2024-01-01 00:00:00
pb6ac4ea8-9e2d-4000-8000-ad2651fa-78f,c0000001-0021-4000-8000-000000000021,m0000001-0014-4000-8000-000000000014,2024-01-01,45.79,60.79,53.29,2707,AGMARKNET,2024-01-01 00:00:00
p7af8f2d4-6afd-4000-8000-b905d328-dd0,c0000001-0021-4000-8000-000000000021,m0000001-0028-4000-8000-000000000028,2024-01-01,44.67,57.23,50.95,4565,AGMARKNET,2024-01-01 00:00:00
p9d8f6cbc-f93a-4000-8000-ef8c44ae-464,c0000001-0022-4000-8000-000000000022,m0000001-0016-4000-8000-000000000016,2024-01-01,26.68,34.84,30.76,2803,AGMARKNET,2024-01-01 00:00:00
pf6ac72a6-1d25-4000-8000-54b01bf1-7d2,c0000001-0023-4000-8000-000000000023,m0000001-0020-4000-8000-000000000020,2024-01-01,44.39,65.21,54.8,1223,AGMARKNET,2024-01-01 00:00:00
pcde54499-a9d1-4000-8000-f06184bc-560,c0000001-0026-4000-8000-000000000026,m0000001-0027-4000-8000-000000000027,2024-01-01,27.12,37.48,32.3,1038,AGMARKNET,2024-01-01 00:00:00
p759ac3a6-a4f1-4000-8000-e86dc676-2b3,c0000001-0028-4000-8000-000000000028,m0000001-0007-4000-8000-000000000007,2024-01-01,47.25,59.49,53.37,856,AGMARKNET,2024-01-01 00:00:00
p212e8217-27d7-4000-8000-5aba883a-db7,c0000001-0030-4000-8000-000000000030,m0000001-0015-4000-8000-000000000015,2024-01-01,68.26,83.74,76.0,2065,AGMARKNET,2024-01-01 00:00:00
