id,name,district,state,latitude,longitude,phone,open_hours,is_open,created_at
m0000001-0001-4000-8000-000000000001,Salem Central Market,Salem,Tamil Nadu,11.6643,78.1460,+91 427 2331234,06:00-12:00,true,2024-01-01 00:00:00
m0000001-0002-4000-8000-000000000002,Erode Perundurai Market,Erode,Tamil Nadu,11.2760,77.5878,+91 424 2267890,05:30-11:30,true,2024-01-01 00:00:00
m0000001-0003-4000-8000-000000000003,Coimbatore Ukkadam Market,Coimbatore,Tamil Nadu,11.0059,76.9630,+91 422 2554321,05:00-12:00,true,2024-01-01 00:00:00
m0000001-0004-4000-8000-000000000004,Madurai Mattuthavani Market,Madurai,Tamil Nadu,9.9252,78.1198,+91 452 2537890,05:00-11:00,true,2024-01-01 00:00:00
m0000001-0005-4000-8000-000000000005,Trichy Gandhi Market,Tiruchirappalli,Tamil Nadu,10.8269,78.6897,+91 431 2414567,06:00-12:00,true,2024-01-01 00:00:00
m0000001-0006-4000-8000-000000000006,Thanjavur Vegetable Market,Thanjavur,Tamil Nadu,10.7870,79.1378,+91 436 2231890,05:30-11:00,true,2024-01-01 00:00:00
m0000001-0007-4000-8000-000000000007,Namakkal Wholesale Market,Namakkal,Tamil Nadu,11.2189,78.1677,+91 4286 222456,05:00-11:30,true,2024-01-01 00:00:00
m0000001-0008-4000-8000-000000000008,Dindigul Main Market,Dindigul,Tamil Nadu,10.3673,77.9803,+91 451 2420123,06:00-12:00,true,2024-01-01 00:00:00
m0000001-0009-4000-8000-000000000009,Tirunelveli Anna Bus Stand Market,Tirunelveli,Tamil Nadu,8.7139,77.7567,+91 462 2334567,05:30-11:30,true,2024-01-01 00:00:00
m0000001-0010-4000-8000-000000000010,Vellore Vegetable Market,Vellore,Tamil Nadu,12.9165,79.1325,+91 416 2222890,06:00-12:00,true,2024-01-01 00:00:00
m0000001-0011-4000-8000-000000000011,Karur Municipal Market,Karur,Tamil Nadu,10.9604,78.0766,+91 4324 234567,05:00-11:00,true,2024-01-01 00:00:00
m0000001-0012-4000-8000-000000000012,Tiruppur Kangeyam Road Market,Tiruppur,Tamil Nadu,11.1085,77.3411,+91 421 2232345,05:30-12:00,true,2024-01-01 00:00:00
m0000001-0013-4000-8000-000000000013,Cuddalore Town Market,Cuddalore,Tamil Nadu,11.7480,79.7714,+91 4142 225678,06:00-11:30,true,2024-01-01 00:00:00
m0000001-0014-4000-8000-000000000014,Thoothukudi Palayamkottai Market,Thoothukudi,Tamil Nadu,8.7642,78.1348,+91 461 2321234,05:30-11:00,true,2024-01-01 00:00:00
m0000001-0015-4000-8000-000000000015,Krishnagiri Town Market,Krishnagiri,Tamil Nadu,12.5186,78.2137,+91 4343 223456,05:00-11:30,true,2024-01-01 00:00:00
m0000001-0016-4000-8000-000000000016,Salem Suramangalam Market,Salem,Tamil Nadu,11.6341,78.0977,+91 427 2445678,06:00-12:00,true,2024-01-01 00:00:00
m0000001-0017-4000-8000-000000000017,Erode Bazaar Street Market,Erode,Tamil Nadu,11.3410,77.7172,+91 424 2256789,05:30-11:30,true,2024-01-01 00:00:00
m0000001-0018-4000-8000-000000000018,Coimbatore Gandhipuram Market,Coimbatore,Tamil Nadu,11.0168,76.9558,+91 422 2444321,06:00-13:00,true,2024-01-01 00:00:00
m0000001-0019-4000-8000-000000000019,Madurai Aavin Market,Madurai,Tamil Nadu,9.9195,78.1193,+91 452 2531890,05:00-11:00,true,2024-01-01 00:00:00
m0000001-0020-4000-8000-000000000020,Trichy Thillai Nagar Market,Tiruchirappalli,Tamil Nadu,10.8155,78.7047,+91 431 2770123,06:00-12:00,true,2024-01-01 00:00:00
m0000001-0021-4000-8000-000000000021,Thanjavur New Bus Stand Market,Thanjavur,Tamil Nadu,10.7831,79.1402,+91 436 2273456,05:30-11:30,true,2024-01-01 00:00:00
m0000001-0022-4000-8000-000000000022,Namakkal Rasipuram Road Market,Namakkal,Tamil Nadu,11.2210,78.1820,+91 4286 234567,05:00-11:00,true,2024-01-01 00:00:00
m0000001-0023-4000-8000-000000000023,Dindigul Palani Road Market,Dindigul,Tamil Nadu,10.3682,77.9689,+91 451 2456789,06:00-12:00,true,2024-01-01 00:00:00
m0000001-0024-4000-8000-000000000024,Tirunelveli Junction Market,Tirunelveli,Tamil Nadu,8.7289,77.6882,+91 462 2345678,05:30-11:30,true,2024-01-01 00:00:00
m0000001-0025-4000-8000-000000000025,Vellore Katpadi Market,Vellore,Tamil Nadu,12.9698,79.1559,+91 416 2278901,06:00-12:00,true,2024-01-01 00:00:00
m0000001-0026-4000-8000-000000000026,Karur Aravakurichi Road Market,Karur,Tamil Nadu,10.9578,78.0844,+91 4324 256789,05:00-11:00,true,2024-01-01 00:00:00
m0000001-0027-4000-8000-000000000027,Tiruppur Avinashi Road Market,Tiruppur,Tamil Nadu,11.1127,77.3387,+91 421 2445678,05:30-12:00,true,2024-01-01 00:00:00
m0000001-0028-4000-8000-000000000028,Cuddalore Port Market,Cuddalore,Tamil Nadu,11.7401,79.7679,+91 4142 245678,06:00-11:30,true,2024-01-01 00:00:00
m0000001-0029-4000-8000-000000000029,Thoothukudi SIDCO Market,Thoothukudi,Tamil Nadu,8.8072,78.1382,+91 461 2367890,05:30-11:00,true,2024-01-01 00:00:00
m0000001-0030-4000-8000-000000000030,Krishnagiri Hosur Road Market,Krishnagiri,Tamil Nadu,12.5265,78.2015,+91 4343 267890,05:00-11:30,true,2024-01-01 00:00:00
m0000001-0031-4000-8000-000000000031,Salem Five Roads Market,Salem,Tamil Nadu,11.6556,78.1418,+91 427 2556789,06:00-12:00,true,2024-01-01 00:00:00
m0000001-0032-4000-8000-000000000032,Erode Gobichettipalayam Market,Erode,Tamil Nadu,11.4554,77.4402,+91 4285 223456,05:30-11:30,true,2024-01-01 00:00:00
m0000001-0033-4000-8000-000000000033,Coimbatore Peelamedu Market,Coimbatore,Tamil Nadu,11.0255,76.9946,+91 422 2567890,06:00-13:00,true,2024-01-01 00:00:00
m0000001-0034-4000-8000-000000000034,Madurai Sellur Market,Madurai,Tamil Nadu,9.9387,78.1562,+91 452 2578901,05:00-11:00,true,2024-01-01 00:00:00
m0000001-0035-4000-8000-000000000035,Trichy Srirangam Market,Tiruchirappalli,Tamil Nadu,10.8624,78.6914,+91 431 2434567,06:00-12:00,true,2024-01-01 00:00:00
m0000001-0036-4000-8000-000000000036,Thanjavur Kumbakonam Road Market,Thanjavur,Tamil Nadu,10.7905,79.1460,+91 436 2289012,05:30-11:30,true,2024-01-01 00:00:00
